# AUDI_WAPSTRA_2003.DATA
#
# 
# Each line is:
#  Z   A    MassExcess (keV)
#
49 105 -79481.1
49 106 -80606.5
49 107 -83559.6
49 108 -84115.6
49 109 -86488.7
49 110 -86475
49 111 -88395.7
49 112 -87996.1
49 113 -89369.6
49 114 -88572.2
49 115 -89536.6
49 116 -88250
49 117 -88945
49 118 -87230.3
49 119 -87704.5
49 120 -85735.1
49 121 -85841.1
49 122 -83577.4
49 123 -83426.2
49 124 -80876.8
49 125 -80480.5
49 126 -77813.4
49 127 -76985.1
49 128 -74359
49 129 -72938.8
49 130 -69889.9
49 131 -68137.1
49 132 -62419.2
49 133 -57930
49 134 -52024
49 135 -47199
50 99 -47199
50 100 -56779.8
50 101 -59560
50 102 -64929.5
50 103 -66974
50 104 -71591.6
50 105 -73262.5
50 106 -77425.2
50 107 -78576.8
50 108 -82041
50 109 -82639.2
50 110 -85843.9
50 111 -85944.8
50 112 -88661.3
50 113 -88333
50 114 -90560.9
50 115 -90036
50 116 -91528.1
50 117 -90399.9
50 118 -91656.1
50 119 -90068.4
50 120 -91105.1
50 121 -89204.1
50 122 -89945.9
50 123 -87820.5
50 124 -88236.8
50 125 -85898.5
50 126 -86020.4
50 127 -83499.1
50 128 -83334.6
50 129 -80593.8
50 130 -80138.9
50 131 -77314.2
50 132 -76554.2
50 133 -70952.6
50 134 -66795.8
50 135 -60799
50 136 -56504
50 137 -50310
51 103 -56178
51 104 -59176
51 105 -63820.1
51 106 -66330
51 107 -70654
51 108 -72507
51 109 -76259.2
51 110 -77544
51 111 -80888.1
51 112 -81600.7
51 113 -84419.7
51 114 -84515.4
51 115 -87003.4
51 116 -86821.2
51 117 -88644.8
51 118 -87999.4
51 119 -89477.4
51 120 -88424.5
51 121 -89595.1
51 122 -88330.2
51 123 -89224.1
51 124 -87620.3
51 125 -88255.5
51 126 -86398.4
51 127 -86700.1
51 128 -84608.5
51 129 -84627.7
51 130 -82291.6
51 131 -81988
51 132 -79673.6
51 133 -78942.6
51 134 -74165.8
51 135 -69707.6
51 136 -64879
51 137 -60258
51 138 -55154
51 139 -50319
52 105 -52499
52 106 -58214.4
52 107 -60541
52 108 -65721.9
52 109 -67612
52 110 -72277.1
52 111 -73484.9
52 112 -77301.3
52 113 -78347
52 114 -81888.6
52 115 -82062.8
52 116 -85269
52 117 -85096.9
52 118 -87721
52 119 -87184.4
52 120 -89404.6
52 121 -88551.2
52 122 -90314
52 123 -89171.9
52 124 -90524.5
52 125 -89022.2
52 126 -90064.6
52 127 -88281.1
52 128 -88992.1
52 129 -87003.2
52 130 -87351.4
52 131 -85209.5
52 132 -85182.2
52 133 -82944.6
52 134 -82559.5
52 135 -77827.6
52 136 -74425.2
52 137 -69561.2
52 138 -65931
52 139 -60799
52 140 -56961
52 141 -51558
52 142 -47432
53 108 -52652
53 109 -57613.4
53 110 -60321
53 111 -64947
53 112 -67096
53 113 -71128.3
53 114 -72796
53 115 -76337.8
53 116 -77492.3
53 117 -80434.5
53 118 -80971
53 119 -83765.5
53 120 -83789.6
53 121 -86287.3
53 122 -86080
53 123 -87943.3
53 124 -87365
53 125 -88836.4
53 126 -87910.5
53 127 -88983.1
53 128 -87737.9
53 129 -88503.4
53 130 -86932.4
53 131 -87444.4
53 132 -85699.9
53 133 -85886.6
53 134 -84072.5
53 135 -83789.6
53 136 -79499.3
53 137 -76502.8
53 138 -72330.9
53 139 -68837.9
53 140 -64273
53 141 -60519
53 142 -55722
53 143 -51642
53 144 -46584
54 110 -51904.6
54 111 -54397
54 112 -59966.7
54 113 -62092.3
54 114 -67085.9
54 115 -68656.8
54 116 -73046.7
54 117 -74185.4
